candidate_name,office,total_raised,neighbor_donations,pac_corporate_funds,institutional_pct,source_url,updated_at
Eric Reikenis,Port St. Lucie City Council District 1,10580.00,,,,https://www.stlucievotes.gov/candidates_committees/candidate_profiles.php,2026-06-26
Indony Baptiste,Port St. Lucie City Council District 1,7899.62,,,,https://www.stlucievotes.gov/candidates_committees/candidate_profiles.php,2026-06-26
Kevin Zimmerman,Port St. Lucie City Council District 1,6034.70,,,,https://www.stlucievotes.gov/candidates_committees/candidate_profiles.php,2026-06-26
Fredric Meltzer,Port St. Lucie City Council District 1,7921.45,,,,https://www.stlucievotes.gov/candidates_committees/candidate_profiles.php,2026-06-26
